zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,perc_white_change,med_age_change,perc_employed_change
61490.0,2012,56667.0,95900.0,688.0,1260.0,32.7,683.0,0.3945054945054945,0.0,0.0,0.0,0.0,0.0,0.0
61530.0,2012,56317.0,147400.0,583.0,6270.0,37.4,2884.0,0.23672344689378758,0.0,0.0,0.0,0.0,0.0,0.0
61545.0,2012,60500.0,167100.0,921.0,803.0,35.2,281.0,0.3521739130434783,0.0,0.0,0.0,0.0,0.0,0.0
61563.0,2012,40188.0,59100.0,478.0,400.0,53.3,202.0,0.38924050632911394,0.0,0.0,0.0,0.0,0.0,0.0
61568.0,2012,69182.0,174300.0,649.0,4449.0,39.4,2222.0,0.227553118574366,0.0,0.0,0.0,0.0,0.0,0.0
61605.0,2012,19552.0,44700.0,657.0,4901.0,30.0,4401.0,0.34405469012663903,0.0,0.0,0.0,0.0,0.0,0.0
61611.0,2012,54302.0,138800.0,633.0,24114.0,41.3,12305.0,0.24517352973998438,0.0,0.0,0.0,0.0,0.0,0.0
61701.0,2012,42785.0,115200.0,668.0,28693.0,32.3,18212.0,0.2549383248512033,0.0,0.0,0.0,0.0,0.0,0.0
61731.0,2012,63828.0,77500.0,806.0,226.0,35.9,81.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0
61745.0,2012,77679.0,150700.0,713.0,4205.0,38.1,2274.0,0.24363759755683745,0.0,0.0,0.0,0.0,0.0,0.0
61760.0,2012,48523.0,99200.0,569.0,2632.0,40.8,1220.0,0.4142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
61817.0,2012,60250.0,101400.0,721.0,2637.0,36.1,1122.0,0.2389937106918239,0.0,0.0,0.0,0.0,0.0,0.0
61821.0,2012,53046.0,140400.0,829.0,19925.0,35.6,15450.0,0.17883266159128228,0.0,0.0,0.0,0.0,0.0,0.0
61830.0,2012,76023.0,106000.0,783.0,692.0,32.8,295.0,0.34265734265734266,0.0,0.0,0.0,0.0,0.0,0.0
61854.0,2012,54872.0,126800.0,760.0,1659.0,46.3,845.0,0.3756345177664975,0.0,0.0,0.0,0.0,0.0,0.0
61855.0,2012,59750.0,106900.0,760.0,194.0,22.3,80.0,0.11956521739130435,0.0,0.0,0.0,0.0,0.0,0.0
61862.0,2012,62045.0,134400.0,646.0,433.0,45.9,319.0,0.37462235649546827,0.0,0.0,0.0,0.0,0.0,0.0
61864.0,2012,68966.0,148400.0,650.0,1764.0,38.4,923.0,0.2547559966914806,0.0,0.0,0.0,0.0,0.0,0.0
61919.0,2012,56667.0,116800.0,663.0,936.0,37.8,473.0,0.32730263157894735,0.0,0.0,0.0,0.0,0.0,0.0
61928.0,2012,72696.0,118300.0,750.0,1015.0,48.1,507.0,0.23357664233576642,0.0,0.0,0.0,0.0,0.0,0.0
61933.0,2012,40625.0,75300.0,571.0,1122.0,47.6,492.0,0.36762860727728985,0.0,0.0,0.0,0.0,0.0,0.0
61949.0,2012,27167.0,55000.0,670.0,194.0,46.8,94.0,0.4013605442176871,0.0,0.0,0.0,0.0,0.0,0.0
61951.0,2012,48888.0,99800.0,655.0,7839.0,43.0,3439.0,0.3672447702485249,0.0,0.0,0.0,0.0,0.0,0.0
61956.0,2012,45625.0,88300.0,680.0,2644.0,43.6,1442.0,0.36503856041131105,0.0,0.0,0.0,0.0,0.0,0.0
61088.0,2012,78074.0,163500.0,867.0,6200.0,38.0,3483.0,0.27660606060606063,0.0,0.0,0.0,0.0,0.0,0.0
61089.0,2012,56667.0,131600.0,648.0,786.0,47.7,417.0,0.2822719449225473,0.0,0.0,0.0,0.0,0.0,0.0
61103.0,2012,35960.0,94600.0,617.0,17435.0,37.7,10115.0,0.2585808065020319,0.0,0.0,0.0,0.0,0.0,0.0
