zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,med_age_change,perc_white_change,perc_hs_grad_change,perc_employed_change
60606,2012,101912,327500,1846,0.841183827,30.9,0.979261507,0.018078512,0,0,0,0,0,0,0
60623,2012,29736,173900,779,0.487494572,27.3,0.830553141,0.254923153,0,0,0,0,0,0,0
60629,2012,40698,171800,875,0.330896481,29.1,0.854538177,0.287003696,0,0,0,0,0,0,0
60633,2012,42205,143200,905,0.622882896,37,0.86483294,0.312184733,0,0,0,0,0,0,0
60638,2012,59529,223100,894,0.751228692,37.2,0.901377486,0.329285004,0,0,0,0,0,0,0
60640,2012,47132,277600,844,0.587364643,36.8,0.914780034,0.134286151,0,0,0,0,0,0,0
60649,2012,30135,180400,815,0.019476143,38.3,0.816943551,0.200405531,0,0,0,0,0,0,0
60655,2012,86475,248300,967,0.901061074,37.9,0.916045995,0.220073614,0,0,0,0,0,0,0
60661,2012,95316,342700,1513,0.68762089,30.9,0.953336678,0.045568772,0,0,0,0,0,0,0
60827,2012,36739,109500,819,0.083301005,31.5,0.769040665,0.304865057,0,0,0,0,0,0,0
60631,2012,78015,335200,1073,0.918011399,43.5,0.927051474,0.210177196,0,0,0,0,0,0,0
60005,2012,66701,308500,1052,0.814234175,39.8,0.912370498,0.210610705,0,0,0,0,0,0,0
60015,2012,125246,524000,1559,0.923690205,42.1,0.933276547,0.096656569,0,0,0,0,0,0,0
60018,2012,57171,246900,901,0.715716407,38.3,0.917955871,0.289039967,0,0,0,0,0,0,0
60068,2012,86621,421800,1144,0.935007782,44.4,0.943378371,0.165188513,0,0,0,0,0,0,0
60527,2012,74539,398500,1106,0.736577361,43.3,0.93535729,0.169716886,0,0,0,0,0,0,0
60642,2012,68934,370700,1123,0.714720162,31.8,0.916051728,0.096091985,0,0,0,0,0,0,0
60656,2012,54948,270100,1032,0.857220907,40.4,0.915824048,0.31179432,0,0,0,0,0,0,0
60141,2012,155469,270100,1032,0.690677966,54.4,1,0.237373737,0,0,0,0,0,0,0
60546,2012,67998,298800,852,0.852249747,41.7,0.909722222,0.191028829,0,0,0,0,0,0,0
60628,2012,39002,134900,950,0.03549952,37.1,0.794645248,0.235367583,0,0,0,0,0,0,0
60480,2012,71424,318600,846,0.938156591,44,0.905102372,0.276486486,0,0,0,0,0,0,0
60641,2012,47232,287400,888,0.59473448,35.3,0.865725956,0.249847204,0,0,0,0,0,0,0
60007,2012,68184,276200,973,0.8186896,42.9,0.946804731,0.236446034,0,0,0,0,0,0,0
60201,2012,66282,449800,1271,0.697703628,30.9,0.928674769,0.098964234,0,0,0,0,0,0,0
60402,2012,50697,211400,894,0.642796623,33.3,0.879055593,0.280921119,0,0,0,0,0,0,0
60406,2012,42019,142000,823,0.498299583,30.7,0.855532624,0.267306061,0,0,0,0,0,0,0
